N° BIEN;ADRESSE;VILLE;CODE POSTAL;VALEUR D'ACHAT PLEINE PROPRIETE (HORS FRAIS);VALEUR TRANSACTION (HORS FRAIS); M2 ESTIME;NB PIECES;TYPE BIEN;DATE TRANSACTION;ANNEE DE CONSTRUCTION;ANNEXES;INFORMATIONS
12; RUE BARTHOLDIE;BOULOGNE BILLANCOURT;92100;4 734 483;2 525 000;608;10;MAISON;11/02/2021;08/04/1905;;ROOFTOP DE 90M2
15; BD DE DIXMUDE;PARIS 17;75017;783 447;634 000;92;4;APPARTEMENT;17/02/2021;03/05/1905;CAVE+BOX;
24; RUE JEAN PIERRE TIMBAUD;PARIS 11;75011;683 782;470 000;61;3;APPARTEMENT;26/02/2021;;;2 ETAGE
50; RT DE L'ETANG LA VILLE;MAREIL MARLY;78750;581 586;315 000;110;5;MAISON;01/03/2021;13/04/1905;TERRAIN DE 760M2 + TERRASSE 70M2;SOUS SOL + REZ DE CHAUSSEE + 1 ETAGE
40; QUAI DE JEMMAPES;PARIS 10;75010;841 965;450 000;81;3;APPARTEMENT;12/03/2021;25/05/1905;;Double séjour
2; SQUARE ADANSON;PARIS 05;75005;502 864;328 000;35;1;APPARTEMENT;18/03/2021;;;TOIT TERRASSE DE 35M2 + 8 ETAGE
32; VIEUX CHEMIN DE GAIRAUT;NICE;6000;410 218;202 000;81;3;APPARTEMENT;26/03/2021;;PISCINE + GARAGE;VUE MER + 4 ETAGE/5
52; AV RIOU BLANQUET;GRASSE;6130;276 733;166 000;79;4;APPARTEMENT;01/04/2021;28/05/1905;BOX + CAVE;2 TERRASSES DE 15M2 ET DE 44M2 + VUE 
10; RUE DARDANELLES;PARIS 17;75017;620 827;500 000;68;2;APPARTEMENT;12/04/2021;;CAVE+ 2005, CHAUDIERE + 2005 TOITURE;7ETAGE/8
70; BD NATIONAL;NANTERRE;92000;298 927;85 000;65;3;APPARTEMENT;12/04/2021;23/05/1905;CAVE ET PARKING;ETAGE 9/10 + BALCON
66; AV DU MARECHAL JUIN;CANNES;6400;515 456;263 000;77;3;APPARTEMENT;30/04/2021;14/06/1905;DOUBLE GARAGE + TERRASSE DE 27M2; 3/3DERNIER ETAGE
47; RUE DU COMMANDANT CHARCOT;BORDEAUX;33000;591 475;400 000;173;8;MAISON;06/05/2021;22/04/1905;;HOTEL PATICULIER
